Id,Type,NivelPicante,es-es,en-us,<END> (leave this in the first row of the last column)
UIGeneralConfMenu,UI,0,Configuración,Configuration,
UIConfLang,UI,0,Idioma,Language,
UIConfTypeSentences,UI,0,Temas,Topics,
UIConfNivelPicante,UI,0,Nivel,Level,
UIConfNivelPicanteDesc,UI,0,Aquí puedes cambiar el nivel de picante de las frases,Here you can change the spicy level of the sentences,
UIConfCustomSentences,UI,0,Añade frases,Add sentences,
UIConfPlayers,UI,0,Jugadores,Players,
UIConfMiscelanea,UI,0,Otro,Other,
AllowRandomSentences,UI,0,Pruebas aleatorias,Random challenges,
AllowCustomSentences,UI,0,Frases personalizadas,Custom sentences,
UIRateAppPopupText,UI,0,¿Nos valoras?,Would you like to rate us?,
UIRateAppPopupCancelText,UI,0,Nahhh,Hmmm,
UIButtonPlay,UI,0,Jugar,Play,
UIButtonDone,UI,0,Hecho,Done,
UIButtonAccept,UI,0,Aceptar,Accept,
UIButtonCancel,UI,0,Cancelar,Cancel,
Add,UI,0,AÑADIR,ADD,
YN_N,UI,0,Yo nunca,I've never ever,
YN_A,Img,0,YN_A_es-es,YN_A_en-us,
YN_D,UI,0,Lee las frases empezando por 'Yo Nunca'. Los jugadores que hayan hecho lo que diga la frase beben 1 trago,Start reading the phrases by saying 'Never have I ever...' Every player that has done what the phrase says must drink once.,
VOA_N,UI,0,Verdad o atrevimiento,Truth or Dare,
VOA_A,Img,0,VOA_A_es-es,VOA_A_en-us,
VOA_D,UI,0,"Elige entre responder una pregunta o hacer una acción. Decide bien tu respuesta, no podrás cambiarla","Choose between answering a question or doing an action. Choose wisely, because you won't be able to change.",
DDB_N,UI,0,Duelo de  borrachos,Quick Drunk,
DDB_A,Img,0,DDB_A_es-es,DDB_A_en-us,
DDB_D,UI,0,Pon el dedo sobre la zona de color y suéltalo antes de que llegue a 0. Cuanto más cerca mejor. Pero no te pases!,Put your finger on the colored zone and release it before it reaches 0. The closer the better. But don't go over!,
PF_N,UI,0,Pre Fiesta,Pre Party,
PF_A,Img,0,PF_A_es-es,PF_A_en-us,
PF_D,UI,0,Empieza la fiesta con preguntas variadas sobre tus amigos. La mejor manera de empezar la noche!,Start the party with varied questions about your friends. The best way to start the night.,
BPA_A,Img,0,BPA_A_es-es,BPA_A_en-us,
Adolescente,UI,0,Adolescente,Teen,
Sexualidad,UI,0,Sexualidad,Sexuality,
Vergüenza,UI,0,Vergüenza,Shame,
Instituto,UI,0,Instituto,Institute,
Alcohol,UI,0,Alcohol,Alcohol,
Trabajo,UI,0,Trabajo,Work,
Asquerosidad,UI,0,Asquerosidad,Gross,
TypePlayerNameHere,UI,0,Escribe el nombre del jugador aquí,Write here the name of the player,
RepeatedPlayerText,UI,0,El jugador está repetido,The player is repeated,
NotEnoughPlayers,UI,0,El número mínimo de jugadores es,The minimum number of players is,
